Vectorizer,Model,F1-Score
sentence-transformers/all-mpnet-base-v2,LogisticRegression,0.26614311940747876
intfloat/multilingual-e5-large-instruct,LinearSVC,0.2613377236798847
sentence-transformers/all-mpnet-base-v2,LinearSVC,0.2608415237196805
sentence-transformers/all-mpnet-base-v2,SVC,0.25689099308486507
mixedbread-ai/mxbai-embed-large-v1,SVC,0.25520101060549194
mixedbread-ai/mxbai-embed-large-v1,BernoulliNB,0.2340615065266231
Average,LinearSVC,0.23217603223231637
Average,SVC,0.22925797688580551
intfloat/multilingual-e5-large-instruct,SGDClassifier,0.22830848393849154
sentence-transformers/all-MiniLM-L6-v2,LinearSVC,0.22566905391145836
intfloat/multilingual-e5-large-instruct,RandomForestClassifier,0.22563227452130383
sentence-transformers/all-MiniLM-L6-v2,SVC,0.22471837540868206
Average,LogisticRegression,0.22307201169646204
intfloat/multilingual-e5-large-instruct,BernoulliNB,0.22054502795123807
sentence-transformers/all-mpnet-base-v2,SGDClassifier,0.21777138272086977
Average,BernoulliNB,0.21349814830616115
sentence-transformers/all-mpnet-base-v2,BernoulliNB,0.21082662705718205
intfloat/multilingual-e5-large-instruct,LogisticRegression,0.21061149176506805
sentence-transformers/all-mpnet-base-v2,RandomForestClassifier,0.20897399395694513
mixedbread-ai/mxbai-embed-large-v1,LogisticRegression,0.2084197943680369
sentence-transformers/all-MiniLM-L6-v2,LogisticRegression,0.2071136412452644
Average,SGDClassifier,0.19696293243081517
Average,RandomForestClassifier,0.19350831935391694
sentence-transformers/all-MiniLM-L6-v2,BernoulliNB,0.18855943168960138
mixedbread-ai/mxbai-embed-large-v1,LinearSVC,0.18085582761824187
intfloat/multilingual-e5-large-instruct,SVC,0.180221528444183
sentence-transformers/all-mpnet-base-v2,DecisionTreeClassifier,0.17949817453078326
mixedbread-ai/mxbai-embed-large-v1,RandomForestClassifier,0.17896926568837962
mixedbread-ai/mxbai-embed-large-v1,SGDClassifier,0.1741917796157206
intfloat/multilingual-e5-large-instruct,KNeighborsClassifier,0.16993216307595552
sentence-transformers/all-MiniLM-L6-v2,SGDClassifier,0.16758008344817873
mixedbread-ai/mxbai-embed-large-v1,KNeighborsClassifier,0.16454524462527736
sentence-transformers/all-MiniLM-L6-v2,KNeighborsClassifier,0.16340558550755546
Average,KNeighborsClassifier,0.16240754532757984
sentence-transformers/all-MiniLM-L6-v2,RandomForestClassifier,0.16045774324903916
sentence-transformers/all-mpnet-base-v2,KNeighborsClassifier,0.15174718810153107
mixedbread-ai/mxbai-embed-large-v1,AdaBoostClassifier,0.15083628829653112
sentence-transformers/all-MiniLM-L6-v2,AdaBoostClassifier,0.14786276365324857
mixedbread-ai/mxbai-embed-large-v1,DecisionTreeClassifier,0.14647954362852542
Average,AdaBoostClassifier,0.14111092085393248
Average,DecisionTreeClassifier,0.137650718340694
sentence-transformers/all-mpnet-base-v2,AdaBoostClassifier,0.1345704982706686
intfloat/multilingual-e5-large-instruct,AdaBoostClassifier,0.13117413319528165
intfloat/multilingual-e5-large-instruct,DecisionTreeClassifier,0.1155284811348162
sentence-transformers/all-MiniLM-L6-v2,DecisionTreeClassifier,0.10909667406865116
