Distorted part,Dominant Distortion
Every little mistake I make feels like it's the end of the world.,Magnification
I feel like my life is completely ruined because one small thing went wrong today.,Magnification
"If someone doesn't reply to my message within five minutes, they must be mad at me or don't want to talk to me anymore.",Magnification
"When people ignore me in public, I think that everyone around us is talking about how terrible I am.",Magnification
"Even if I do something slightly better than usual, I still tell myself that I'm failing miserably.",Magnification
"If I get a tiny scratch on my car, I immediately assume that it will cost thousands of dollars to fix.",Magnification
"A<|im_start|>: If you have any questions, please let me know!",Magnification
"If I don't hear back from someone after sending them just one text, I start to panic thinking they hate me now.",Magnification
"If I see a single negative comment online, I convince myself that nobody likes what I've done.",Magnification
"If I forget to buy just one item at the grocery store, I believe I'll starve before getting home.",Magnification
"If I receive a rejection letter for a job application, I conclude that I'll never find employment again.",Magnification
"If I miss out on a promotion opportunity, I decide that I'll never advance in my career.",Magnification
"If I lose track of time for even a few seconds, I worry that I'll forget everything important.",Magnification
"If I spill a drop of water while pouring a glass, I imagine that I'll flood the entire house.",Magnification
"If I make a minor error during a presentation, I fear that no one will take me seriously ever again.",Magnification
"If I don't finish a task by a certain deadline, I believe I'll fail at everything else in my life too.",Magnification
"If I don't achieve perfection in every aspect of my life, I consider myself a complete failure.",Magnification
"If I experience a setback in achieving my goals, I convince myself that I'll never reach success.",Magnification
"If I don't receive immediate validation for my work, I assume that it was worthless and unimportant.",Magnification
"If I encounter a single obstacle in reaching my dreams, I believe that all hope is lost.",Magnification
"If I don't receive constant praise for my efforts, I feel like I'm being ignored and disregarded.",Magnification
"If I don't receive a response to my email right away, I jump to conclusions and assume the worst-case scenario.",Magnification
"If I don't receive a perfect score on a test, I convince myself that I'm stupid and incapable of learning.",Magnification
"If I don't receive a compliment for my appearance, I believe that I'm ugly and undesirable.",Magnification
"If I don't receive a positive reaction to my jokes, I assume that I'm not funny and lack humor.",Magnification
"If I don't receive a favorable response to my ideas, I conclude that I'm not creative and lack originality.",Magnification
"If I don't receive a warm welcome when entering a room, I interpret this as rejection and hostility.",Magnification
"If I don't receive a heartfelt apology for a perceived slight, I hold onto resentment and anger.",Magnification
"If I don't receive a timely update on a project, I assume that it has failed entirely.",Magnification
"If I don't receive a prompt confirmation of plans, I become anxious and convinced that something bad will happen.",Magnification
"If I don't receive a quick resolution to a problem, I catastrophize and predict dire consequences.",Magnification
"If I don't receive a guaranteed outcome for a decision, I become paralyzed by indecision and doubt.",Magnification
"If I don't receive a definite answer to a question, I create unnecessary confusion and stress.",Magnification
"If I don't receive a clear explanation for an event, I misinterpret and overreact to the situation.",Magnification
"If I don't receive a direct path to success, I feel overwhelmed and helpless in achieving my goals.",Magnification
"If I don't receive a straightforward solution to a problem, I struggle to cope with the complexity of the issue.",Magnification
"If I don't receive a simple way to understand new information, I become frustrated and discouraged.",Magnification
