Distorted part,Dominant Distortion
" If things don't go well on this project, it means that I am destined for failure.",Fortune-telling
" Whenever something bad happens, I know that more misfortune will follow soon after.",Fortune-telling
" When my boss criticizes my work, it must be a sign that I won't get promoted anytime soon.",Fortune-telling
" Every time I feel sad, I predict that tomorrow will bring even greater despair.",Fortune-telling
" It seems like every time I try to make progress in life, fate conspires against me and sets me back.",Fortune-telling
" As long as I keep making mistakes, I believe that I am doomed to fail at everything I attempt.",Fortune-telling
" Each time I experience rejection, I foresee a future filled with loneliness and isolation.",Fortune-telling
" If I feel this sadness right now, it must mean that something terrible has happened.",Emotional Reasoning
" Whenever I experience anger towards someone, there must be a deep-rooted issue causing these feelings.",Emotional Reasoning
" When my heart races after meeting someone for the first time, it means that I am attracted to them.",Emotional Reasoning
" Every time I get nervous before giving a presentation, it confirms that public speaking is truly terrifying for me.",Emotional Reasoning
" Each time I have trouble sleeping at night, it demonstrates how anxious I really am about life's challenges.",Emotional Reasoning
" When I find myself feeling overwhelmed by emotions during difficult situations, it validates the intensity of those emotions.",Emotional Reasoning
 My constant fear of failure indicates just how much pressure I put on myself to succeed.,Emotional Reasoning
" When I notice my hands shaking while making important decisions, it reinforces the belief that such choices are incredibly stressful for me.",Emotional Reasoning
" As long as I continue to feel resentment toward others, it serves as evidence that their actions were genuinely hurtful.",Emotional Reasoning
" Whenever I struggle to express my thoughts clearly, it highlights the depth of my anxiety when faced with communication barriers.",Emotional Reasoning
" When I cry easily over small things, it shows that I am highly sensitive and emotional.",Emotional Reasoning
" Whenever I feel like running away from social events, it proves that I don’t enjoy being around people very much.",Emotional Reasoning
" When I become irritated by minor inconveniences, it signifies that I have low tolerance levels for disruptions in daily routines.",Emotional Reasoning
" Whenever I react strongly to criticism, it underscores the importance I place on maintaining a positive self-image.",Emotional Reasoning
" When I consistently avoid confrontation, it suggests that I prioritize peace and harmony above all else.",Emotional Reasoning
" Whenever I feel a strong urge to help others, it reflects my inherent compassionate nature.",Emotional Reasoning
I never get any support from my friends; all they do is take advantage of me when they need something.,Mental Filter
"Whenever someone compliments me, I immediately think that there must be ulterior motives behind it.",Mental Filter
"Every time I try to help others, they end up taking more than their fair share, leaving me feeling used and unappreciated.",Mental Filter
"No matter how hard I work on a project, I feel like everyone else just coasts along while reaping the benefits of my efforts.",Mental Filter
"When people say nice things about me, I assume they are secretly plotting against me and trying to manipulate me for their own gain.",Mental Filter
"In every relationship I have ever had, I am convinced that my partner will eventually leave me once they realize what a burden I am to them.",Mental Filter
"Anytime I receive praise or recognition at work, I believe that my colleagues resent me for getting ahead and view me as arrogant.",Mental Filter
"Despite putting forth great effort, I often find myself overlooked by superiors who seem to favor those less capable but more politically savvy.",Mental Filter
"Even though I make significant contributions to group projects, I worry that my peers see me as lazy and undeserving of credit.",Mental Filter
"Regardless of how much I care for someone, I fear that they will ultimately hurt me due to their inherent selfishness.",Mental Filter
People only pretend to listen to me when they really want to use me for their own purposes.,Mental Filter
"It seems like no one truly appreciates the sacrifices I make for others, instead choosing to exploit me whenever possible.",Mental Filter
"My boss constantly takes credit for my ideas and achievements, leading me to doubt whether she even values my contribution to the company.",Mental Filter
" Whenever I offer assistance to someone, I expect them to repay the kindness later, which leads me to become bitter if they don’t reciprocate.",Mental Filter
" Every time I reach out to someone for emotional support, I wonder if they are secretly judging me and waiting for me to reveal my flaws.",Mental Filter
" Despite being kind-hearted and generous, I struggle to maintain relationships because I suspect that others are merely using me for personal gains.",Mental Filter
" Even when I give everything I have to offer, I still feel like I fall short compared to others around me, making me question why I bother trying at all.",Mental Filter
" In social situations, I tend to focus solely on perceived slights rather than acknowledging genuine acts of kindness or friendship.",Mental Filter
" When people compliment me, I automatically assume they are insincere and hiding hidden intentions.",Mental Filter
" No matter where I go or whom I meet, I always anticipate disappointment and betrayal, causing me to push away potential connections before they can form.",Mental Filter
" People may appear friendly, but deep down, they are always looking for ways to benefit themselves at your expense.",Mental Filter
" It feels like everyone wants something from you, so you start to avoid forming close bonds with others to protect yourself from further heartache.",Mental Filter
" You might put in extra hours at work, but you know that your coworkers won't appreciate it – they'll just take advantage of your dedication.",Mental Filter
"You may lend money to family members, but you also know that they're unlikely to pay you back, so you stop helping them financially.",Mental Filter
"If you show vulnerability to someone, they will inevitably use it against you to control or manipulate you.",Mental Filter
"The world is full of deceivers and takers, so it's best to keep your distance and rely only on yourself.",Mental Filter
"Those who claim to love us often turn out to be self-serving users, seeking<|im_start|>ly exploiting our generosity and loyalty.",Mental Filter
"Life has taught me that people cannot be trusted, and I should always look out for number one above all else.",Mental Filter
I should have known better than to trust them; now look at what happened!,Should statements
"If you had just listened to my advice, we wouldn't be in this mess right now.",Should statements
You shouldn't make decisions without considering all possible outcomes first.,Should statements
"It was your responsibility to ensure that everything went smoothly during the event, but instead, it turned into chaos due to your negligence.",Should statements
They really should have warned us about the potential risks beforehand so that we could prepare ourselves for any unforeseen circumstances.,Should statements
The world would be a much better place if everyone followed basic rules of decency and respect towards one another.,Should statements
"In order to maintain harmony within our relationships, people should strive to communicate openly and honestly with each other.",Should statements
Life would be easier if more individuals took accountability for their actions rather than constantly shifting blame onto others.,Should statements
"People should learn how to manage their emotions effectively, especially when faced with difficult situations.",Should statements
We should prioritize self-care and mental health over external pressures and expectations.,Should statements
Individuals should take time out of their busy schedules to appreciate nature and its beauty on occasion.,Should statements
A healthy work-life balance should be maintained by every individual to prevent burnout and promote overall wellbeing.,Should statements
"Everyone should treat strangers kindly, as small acts of kindness can go a long way in making someone feel valued.",Should statements
It is crucial for society to recognize the importance of empathy and compassion in fostering positive human connections.,Should statements
"To create a harmonious environment, people should actively listen to one another and avoid interrupting while someone else speaks.",Should statements
One should never underestimate the power of gratitude and express thanks regularly to those who positively impact our lives.,Should statements
It is essential for humanity to embrace sustainability practices and reduce wasteful consumption habits to protect future generations.,Should statements
"For a peaceful coexistence among nations, diplomacy and dialogue should replace aggression and conflict.",Should statements
