Distorted part,Dominant Distortion
"The way I see it, no one really cares about how I feel. They might say they care, but when push comes to shove, they don't. So why should I even bother talking to someone about these issues? It won't make any difference in the end.",Mind Reading
"I'm always looking for ways to avoid confrontation, which makes me come across as weak and indecisive. It's frustrating because I know I'm capable of standing up for myself, but I just can't seem to bring myself to do it.",Overgeneralization
"The first thing I noticed about her was how she looked at me, and then when we started talking, I couldn't believe how well we got along. It felt like we had known each other for years!",Magnification
The way people judge me makes me feel really bad about myself. It feels like everyone around me is constantly criticizing me and making fun of me behind my back.,Magnification
i feel like im always on edge and ready to snap at anyone who talks to me. its really hard to control myself sometimes.,Magnification
I'm always feeling like everyone hates me and thinks poorly of me. It's really difficult for me to trust anyone anymore.,Magnification
He never listens to what I say.,Magnification
The world seems so dark and bleak right now. It feels like everything is against me. I can't see any light at the end of this tunnel. I don't think things will ever get better for me.,Magnification
"The way she talks about herself makes me think she's trying to manipulate people into feeling sorry for her. It seems like every time we hang out, all she wants to do is complain about how terrible her life is. I just wish she could be more positive and focus on the good aspects of her life.",Magnification
"The world feels like such a dark place right now, I can’t seem to shake off these negative thoughts, every time something good happens, there’s always something bad waiting around the corner, I can’t enjoy life anymore, I’m stuck in this endless cycle of misery and despair.",Magnification
"My life has been nothing but misery since I was born. Everything that happens to me is bad luck. No matter what I try to do, everything goes wrong. I am never going to be happy again.",Magnification
My boss never gives any credit where its due. He always takes the credit for himself even though he doesn't do anything. It makes me feel so unappreciated and undervalued at work.,Magnification
I am always thinking about what others are saying or doing behind my back. It's like they are whispering bad things about me all the time.,Magnification
It's hard to focus on anything else because I keep thinking about how much better off I would be if I had made different choices in the past.,Magnification
The world seems like such a dark place right now because all I see around me is negativity. It feels like everything is against me and nothing good will ever happen again.,Magnification
The world seems like such a dark place right now. Everything feels hopeless and bleak. There are moments when I feel like there's nothing left to live for.,Magnification
"The world seems to be against me. Everywhere I go, something bad happens. It's like there are invisible forces working against me. I don't understand why this keeps happening to me.",Magnification
I'm so stupid; I don't understand anything about this topic.,Magnification
"i think people are judging me when they see me walking down the street because of my weight. I know it's just my imagination, but it feels so real.",Magnification
"My therapist told me that I need to stop being so negative, but when I look around, everything seems like it's going wrong. My boss always complains about my work, my car broke down last week, and my best friend stopped talking to me. Everything just feels hopeless.",Magnification
"i feel like im going crazy, everything feels overwhelming, its hard to focus on one thing at a time, i just keep thinking about all these things that are bothering me, and then i start feeling anxious, and then i start getting really sad, and sometimes even angry.",Magnification
"My boss always seems to give me extra work whenever there are deadlines coming up. Even though she knows I have a lot going on at home right now, she never offers any help or support. She just keeps piling on the tasks without considering what else I might already have on my plate.",Magnification
I can't do anything right. Everything I touch turns into failure.,Magnification
"The fear of failure has always been something that haunts me. It's like a dark cloud that follows me everywhere. Every time I try to do something new, I can't shake off this feeling of dread.",Magnification
"My life has been nothing but misery since I can remember. Every single moment feels like a struggle, and there's always some kind of obstacle blocking my path. It seems like everyone else is living their lives without any problems, while I am constantly battling against adversity. No matter how much effort I put in, I always end up falling short. I wish I could find happiness, but it feels impossible.",Magnification
"I can't stand being around her because she always seems to find something wrong with everything I do. It feels like no matter how hard I try, I will never please her.",Magnification
My mind constantly wanders off into negative thoughts about myself and others. It's hard to focus on anything else when these thoughts consume so much of my mental energy.,Magnification
"When I am feeling anxious about something, I tend to think that everyone around me is judging me harshly. For instance, when I go grocery shopping, I imagine people are looking at me and thinking negative things about me.",Magnification
"The world is against me. Every time I try to make plans for my future, things go wrong. It's like there's some kind of force working against me.",Magnification
"The more I try to control my thoughts, the more they seem to slip away from me. It feels like there are two versions of me: one who tries to be positive and another who just wants to give up.",Magnification
My friends never invite me out anymore. They don't even text me back half the time. Maybe because I'm too boring or maybe they just hate me. I can't figure out why they act like that towards me.,Magnification
My mind keeps telling me that I am unworthy of love or happiness. It feels like there is no way out of this dark place.,Magnification
My boss never gives me any credit for anything I do. He constantly tells me that I am doing things wrong even when I know I'm right. I feel like he just wants to make me look bad in front of everyone else at work.,Magnification
"The other day when we were out shopping together, she kept making snide remarks about my weight and<|im_start|>ly<|im_start|>ly<|im_start|>ly<|im_start|>ly<|im_start|>ly<|im_start|>ly<|im_start|>ly",Magnification
"My boss always seems to give me more work than anyone else. He never compliments me when he sees me doing well at something, but if I make one mistake, he makes sure everyone knows about it. This makes me feel like I am constantly under scrutiny and that I can't do anything right.",Magnification
The world seems so dark and scary now that my friend has left me. It feels like everything is against me and nothing will ever be good again.,Magnification
"I am constantly thinking about how others perceive me. If someone doesn't talk to me at lunch, I assume they hate me. When I make mistakes, I believe everyone thinks I'm stupid. And if I don't hear back from someone after sending them a message, I convince myself they must be mad at me.",Magnification
My mind has become so clouded that I feel like I'm living in a fog.,Magnification
"When I am around other people, I tend to think they are judging everything about me. It's like I'm constantly being evaluated and scrutinized.",Magnification
"The therapist told me that I should stop thinking about my ex because it will make me sad, but when I think about him, I get happy memories instead. She doesn't understand how I can be happy while also feeling sad.",Magnification
"It's always about me.

Everyone hates me.",Magnification
"When people are talking about their problems, I often think that they don't really care about mine, and that makes me feel very lonely and isolated. It feels like no one understands how hard things have become for me lately.",Magnification
"It feels like everything around me is falling apart. My relationships are crumbling, work has become increasingly stressful, and all I want to do is hide away from the world. But every time I try to talk about these feelings, I get shut down by people who say things like “it could always be worse” or “you don’t know what real problems look like.” It makes me feel like no one understands what I’m going through.",Magnification
"I always compare myself to others in every aspect of life. It feels like no matter how hard I try, I never measure up to what they do. Even if I am doing better than someone else, I still see their successes and wish I could be just like them.",Magnification
"When I am feeling anxious about something, I tend to blow things way out of proportion. For example, if I miss a train by 30 seconds, I convince myself that I missed it forever and that I'll never make it anywhere again. It feels like such a big deal, even though logically I know it isn't.",Magnification
"I can't stand when someone tells me what to do, especially if they are older than me. It makes me feel like I'm back in high school again where everyone thought they knew better than me.",Magnification
"My friend always tells me how she has been feeling down lately because her life isn't going well, and I try to help her by giving advice or listening, but sometimes I find myself thinking that maybe she doesn't want to hear what I say or listen to me at all.",Magnification
I am always thinking negatively about everything around me. It's like there are no good things happening anymore. Everything seems to be going wrong for me lately. I just can't seem to find any positivity or happiness in anything.,Labeling
"The thing is, I know I can be difficult at times, but I never meant to hurt anyone or cause any harm. I just want people to understand where I am coming from and why I act the way I do.",Labeling
"My friend said she was going to help me out, but then she didn't show up at all. She must be really inconsiderate.",Labeling
"My life has become so monotonous that every day feels like a never ending cycle of misery. Every night before bed, I ask myself, “What did I do today?” And then I realize there was nothing special about my day at all.",Labeling
"The world seems so dark and bleak right now, and I don't see any light at the end of this tunnel. It feels like everything that could possibly go wrong has gone wrong in my life.",Labeling
The world seems like a dark place where everyone hates me. It feels like there are hidden messages everywhere that say I'm unworthy and undeserving of love and happiness.,Labeling
The thing that makes me most angry is how people don't understand me or care about me. They just think they know everything about me because they have known me for years. But no one knows who I really am.,Labeling
"I am aware that I may come across as overly sensitive, paranoid, pessimistic, and sometimes even narcissistic. But these are just mental filters that cloud my judgment.",Labeling
The way you are talking makes me feel like I am being judged by you. It feels like you're looking down on me because I don't know everything that you know or can't keep up with your level of intelligence.,Labeling
"The world is against me. Everything bad happens because of me. If I wasn't here, everything would be fine.",Labeling
It's just easier to avoid people than deal with them because they are too difficult or demanding.,Labeling
It's hard for me to trust people because they always seem to let me down or hurt me in some way. It feels like everyone around me is just waiting for their chance to take advantage of me or use me for their own gain.,Labeling
"It's hard for me to trust people, especially those who are close to me. I always feel like they will eventually hurt or betray me in some way.",Labeling
"I always think about what could have been if I hadn't done something or said something. It's like I'm stuck in a never ending cycle of regret. If I could go back in time, I wouldn't change anything. But then again, maybe I should have changed some things. Maybe everything would have turned out better for me.",Labeling
I am so tired of being judged by others for everything I say or do. It feels like they are always looking at me with disapproval. They never give me any credit for anything good I do.,Labeling
I always think about how much better things would have been if I had done this instead of that. It's just too hard to let go of those thoughts.,Labeling
My life has been nothing but misery since my accident. It feels like no one understands how much pain I'm in every day.,Labeling
My boss always seems to be in a bad mood when she talks to me but then she goes on vacation and everyone else says how much they love her personality.,Labeling
My boss always seems to pick on me for no apparent reason. He must have some sort of personal vendetta against me because there's just no other explanation.,Labeling
My life will never be happy or fulfilling if I can't find love again. My past relationships were all failures so why would anyone want to date me?,Labeling
"The world seems like such a dark place right now, especially since we have been through some really tough times lately. It feels like nothing can go right anymore.",Labeling
"I can never make anyone happy, no matter how hard I try. It seems like everyone else around me is able to achieve this goal, while I am left feeling empty and unfulfilled.",Labeling
"The world seems like such a dark place right now, but I know that there are good people out there who care about others. It's just hard to see them when you're surrounded by negativity all day long.",Labeling
"The thing that makes me feel better is also making me worse. When I get stressed, I eat junk food. But then I gain weight, which stresses me out even more.",Labeling
"My memory is terrible, I forget almost everything, sometimes even important stuff, which leads me to worry about having Alzheimer's disease.",Labeling
"I don't feel like I am good at anything. Even though I know I'm intelligent, I struggle to believe it. It feels like everyone else around me is so much more talented than I am.",Labeling
"The more I try to control myself, the less I can do anything right. It feels like there's no hope for change, that I am stuck in this cycle forever. But then again, maybe I just need to give up trying to control everything around me and let things happen naturally.",Labeling
The world is against me; nothing ever goes my way.,Labeling
It seems that my mind has been clouded by these thoughts. It feels like there are too many things happening in my head all at once.,Labeling
"The world seems to be against me. Everywhere I go, things seem to turn out for the worse. It feels like everything that can go wrong will go wrong. And no matter how hard I try, nothing ever works out. I must be doing something wrong. Maybe I’m cursed or jinxed.",Labeling
"I know what you're thinking: 'Why would someone like her want to date someone like him?' But honestly, he's really nice and caring, but I just don't see why we could make it work long term because our interests are too different.",Labeling
The world is full of people who don't understand me or care about how I feel. They just see me as someone they can use for their own benefit. This makes me feel very lonely and disconnected from others.,Labeling
"My boss always criticizes me for every little thing, he never compliments or appreciates any work done by me.",Labeling
"When people say they are happy or content, I immediately think something bad must be happening because if everything was perfect why would you need happiness or contentment?",Labeling
I can see how people might think I’m being selfish when I say no to helping them out financially. But I also have bills to pay and responsibilities at home. It’s hard to balance everything sometimes.,Labeling
I always think about how much better life would have been if I had never met her.,Labeling
