Distorted part,Dominant Distortion
"I’ve been to cognitive behavioral therapy at least twice for my childhood trauma and bouts of depression, and the tools I’ve learned there have greatly helped me to process my emotions and give me a balanced perspective on my thoughts.  My condition has improved in that I no longer contemplate suicide and am usually happy and content.",Mind Reading
"Despite my hard work, I failed in one aspect of my job. It's clear now that I'm just not cut out for this line of work.",Overgeneralization
"Because of the jobs I've lost in the past, I'm always going to be unsuccessful. I'm incapable of keeping a job and there's no chance for improvement.",Magnification
I recently lost my job and my girlfriend has been paying for everything. I’m worried that I’m going to lose her because I can’t contribute much to our relationship. What if she leaves me because of this? I don’t think I would be able to handle that.,Magnification
"I was only five minutes late to the meeting, but I can't help but feel that my boss views me as completely irresponsible.",Magnification
"When I look in the mirror all I see is an ugly, worthless person staring back at me - I never used to be like this, I used to be happy. I guess this has to mean that I'll never be happy again.",Magnification
"Sometimes, I have this feeling of heaviness in my heart that doesn't seem to go away. It feels like a big stone is crushing me, making it hard for me to breathe, let alone carry on with my daily life. My doctor says it's just anxiety but to me, it feels like something much larger and scarier.",Magnification
"I did something really stupid yesterday. I freaking deleted my entire external storage on my phone. I lost everything. Pictures, music, ringtones, important documents, all gone. Fortunately, it was all backed up on my PC except for my ringtones. That’s what I’m really pissed about. I had spent a lot of time making custom ringtones for specific apps and contacts so I would know what’s going on without looking at my phone. Now they’re gone. Is there any way to recover them? I mean, they’re all on my phone in my contact and app settings but they won’t play because they’re not on the stupid external storage. I’m so freaking pissed at myself for deleting them! I spent time and energy making them and back them up and then stupidly deleted them. I hate this.",Magnification
"Even when I feel intense emotional pain, I choose not to express it to my boyfriend because I’m scared of what he’ll do. I’m scared he’ll abandon me, or reject me, or that he will hurt me. ",Magnification
"I'm not usually a big crier but ever since I found out about my husband's death I cry all the time. I cry when I see his face in a photo, I cry when I hear his voice on an old voicemail, I cry when I come across something he wrote or drew. I can't stop crying and I feel like I'm holding my breath between each sob. I don't know how long I can keep going. I don't know if I'll ever stop crying. I just can't imagine a future without him.",Magnification
"It’s just that sometimes I feel like my anxiety gets really intensified, and it gets to the point where my heart is beating hard and fast and I feel like I can’t breathe and I’m going to die. Every time I’m left alone to be with my thoughts for too long, it ends up being a really scary experience for me.",Magnification
"Everything is affecting me deeper than it should, making me lose focus on other things. I’m trying really hard to balance my emotions but it feels like it’s not enough.",Magnification
"Ever since I was sexually assaulted I tend to not trust people as much as I used to. Over the past month, I have generalized this expectation to all men. I am unable to interact or even be by myself with any man including my very own brother and father. I have a part-time job in a retail store and I am unable to be at peace at my job as there are men everywhere. They don’t do anything to me but just their presence seems threatening. ",Magnification
No I don’t want to kill them; I just want to hurt them for the pain I’m in but I know how wrong that is and it’s eating me up inside because I’m not that kind of person and never wanted to be. I don’t want to be a monster. I almost cry when kids are mean to me.,Magnification
"This whole situation causes a vicious cycle of negative thoughts and actions - I can’t sleep at night, I can’t go to school, I can’t focus on my coursework, I can’t do anything that’s expected of me, and it only seems to be getting worse and worse.",Magnification
I have contemplated dropping out of school because I'm a horrible student. I feel like I shouldn't attend college since I failed one exam and that obviously means I'm not smart enough.,Magnification
"I just broke up with my boyfriend and it was really difficult. Now, I just feel like I'm always going to be alone and no one will ever love me again.",Magnification
"Yes, each time I have been doing an exposure such as going out to eat, I have myself already convinced I will be sick before I even leave the house.",Magnification
"I’m doing fine in school and a lot of people like me, but sometimes I just get these moments where I stop thinking rationally and just act on my emotions. People always tell me to just calm down and relax but I can’t! No one understands how I feel and I hate it, everyone just thinks I’m acting childish or something.",Magnification
"I feel like everyone constantly looks at me, notices my flaws and thinks I’m ugly, I’m fat, or I’m worthless. It’s constant and especially worse when I’m out in public. Just walking across the street makes me shrivel up inside because every car that passes, I think the drivers and passengers are looking at me and laughing or just making fun of me.",Magnification
I must be completely worthless since I couldn't finish my work today. I can't believe I let myself fall so behind. ,Magnification
"I know it seems silly, but I can’t help but magnify my experiences in which I made mistakes and ―paint an ―end of the world‖ scenario out of it.",Magnification
"I just don’t understand what I was expecting. I felt so different, so deeply sad, I felt so disappointed. I was taking a leap of faith, something I never had before in my life.",Magnification
"I despise everything about my personality and my looks. My fingers shake all the time. My leg muscles are always tense, and it hurts to stand still. I feel like I'm diffusing a bomb when I'm carving an apple, lest the knife slip and I hurt myself.",Magnification
"My depression is so overwhelming, it's consuming me whole. I can't even talk to my friends about it, thinking that they'll just laugh it off and not take me seriously. I can already imagine them making fun of me behind my back.",Magnification
The other classmates seem to be learning so fast. I have to study for hours just to do as well as they are doing. If they understood from class and just revise a couple of hours before the test they pass it perfectly. I feel so overwhelmed and I don't think I can handle it anymore.,Magnification
I can't do anything right; even the simplest task I mess up. I'm a complete failure.,Magnification
My life is a total mess. I'm doomed forever just because of one failure.,Magnification
I completed the load of assignments but I still feel the pressure that it's not enough and I am not doing enough.,Magnification
"I know I made a mistake, but now it feels like I ruined everything forever, and there is no way to make things right again.",Magnification
"I constantly worry what would happen if I lose my job. A single missed deadline makes me feel that the boss will now fire me soon. Despite working hard, I always feel that I am not doing enough and that fear does not let me relax.",Magnification
"I thought I could go to work, but then every person I saw and every word they said to me reminds me of how lackluster my life is.  Every minute, every moment seems to be a reminder of the sheer mediocrity, absence of any sense of self-worth. I feel like all my shortcomings, failures, and disappointments are magnified to an impossible size.",Magnification
I have been facing this problem for quite some time now where I feel like everyone around me is talking about me. They don’t say it to my face but I know it. It makes me feel like I am the biggest problem in their lives and it is constantly eating me from the inside. I don’t know how to stop this or what to do about it but it has completely taken over my life.,Magnification
"I would really like to have my own apartment but in reality I'm affraid to do anything about it since I think I would just be stressed out about bills and stuff. Things like ""are my friends going to come over or aren't they?"" or ""is the person living above me going to like me?"".",Magnification
"I can't help but think about my mistakes – even the slightest missteps feel like I've totally messed up my life. It's like I can't see my accomplishments, only my flaws. ",Magnification
"I have little to no self-esteem. I fear that if I voice my opinions, everyone will see just how stupid I am. I can't seem to do anything right.",Magnification
"I'm terrified of driving — every second I'm behind the wheel, I'm convinced I'm moments away from a catastrophic accident. This fear is so overwhelming it impacts my life. I'm constantly turning down opportunities and invitations, just to avoid having to drive.",Magnification
"When someone doesn't reply to my message quickly, I freak out and start assuming the worst, like maybe they're deliberately ignoring me, or they're mad at me, or they don't care about me anymore. It's hard to get out of this negative thought spiral once I get into it.",Magnification
I’m a negative person. There is no way I can change myself.,Magnification
Everything bad that happened in my life is my fault and the good things are just coincidences or luck.,Magnification
I’m so sorry. I was happy all the time and now I can’t stop feeling sad. This once happened a while ago while I was happy. Now it’s recurring and feels like everything is going dark.,Magnification
"I really messed up at work today, my manager is definitely going to fire me. One mistake and my whole career is over. I'll never be able to find another job. I'm a failure.",Magnification
She does not let growing up in a small town define her or limit her dreams.,Magnification
"The slightest hurt to me I can’t take it. I’m not doing it anymore. Everybody hates me and when I tell them to just forget about me, they say “that’s ridiculous” but nobody’s here when I’m alone. The times when I have called I got an attitude so I’m not doing it anymore.",Magnification
That waitress was definitely judging me for ordering dessert.,Magnification
"I’m forced to not let anyone get close to me, as my personal details would be common gossip around school in a matter of days, regardless of whether they were my friend or not.",Magnification
