Distorted part,Dominant Distortion
I can't stand being around people who are so self-centered that they don't even care if others get hurt or offended.,Mind Reading
I always think that everyone hates me and wants to see me fail in life. It makes me feel sad and alone all the time.,Overgeneralization
"The way people talk behind my back makes me think everyone hates me. It's like there's this huge magnifying glass over everything I say and do, making every mistake seem ten times bigger than it really is.",Magnification
"The other day when I was walking down the street, I saw someone who looked just like me. It made me so uncomfortable because I thought people would think we were twins or something.",Magnification
"My life has been filled with constant fear and worry since childhood. It feels like there's always something lurking around every corner waiting to pounce on me. No matter how hard I try, I just can't seem to shake this feeling off.",Magnification
"My boss always criticizes me for everything, so I assume she hates me.",Magnification
"My friends are all so much better at everything than me. They have way cooler jobs, their relationships seem perfect, and even their hobbies are just so much more interesting than mine. I can never measure up to what they’re doing, no matter how hard I try.",Magnification
The world seems so cruel and unforgiving that I don't even know if there is any point in trying anymore.,Magnification
"i am so scared all the time, my mind is always racing, thinking about what ifs, worst case scenarios, things that might happen in the future, i can't calm down or relax no matter how hard i try.",Magnification
"My mind races constantly, making it difficult to focus on anything else. It feels like my thoughts are racing out of control. I can't concentrate on any one thing for more than five minutes without getting distracted by another thought.",Magnification
"When I see people who seem to have their lives together, I can't help but compare myself to them and feel like I'm failing miserably. It feels like everyone else has it so much easier than me, and they don't even realize how lucky they are.",Magnification
It feels like everything around me has changed so much and nothing seems familiar anymore. It’s like I’m living someone else’s life or something.,Magnification
"I feel so overwhelmed by my emotions that I am unable to focus on anything else. It feels like there's no end to this pain. Every time I try to move forward, I get stuck again. I just want to give up already.",Magnification
"The more I try to do something about my situation, the worse things seem to become. Every day feels like a struggle just to survive. My mind is constantly racing, trying to figure out how to fix everything at once. But nothing seems to work.",Magnification
"I don't want to do this anymore. It feels like everything is against me. Every time something good happens, there are always problems or obstacles in the way. I never seem to catch a break.",Magnification
I was always told that people who are overweight are lazy and lack self control. This made me feel terrible about myself because I am overweight. It also makes me think everyone else judges me based on how much I weigh.,Magnification
"My friends always seem to forget about me or don't care about me anymore. They never invite me out anymore, even though I try to talk to them. It feels like everyone hates me and doesn't want to include me in anything.",Magnification
"The world feels like such a dark place right now, and every day I wake up feeling more anxious than the last. It's hard to see the light at the end of this tunnel sometimes, especially when you're surrounded by darkness.",Magnification
"I'm so tired of being judged and criticized by everyone around me. Everywhere I go people are looking down on me and making fun of me. They say I'm weak and pathetic, but I can't help it. I try to be strong, but it's too much for me. I wish I could just disappear and never come back.",Magnification
"My life has become unbearable, I am always anxious about everything, I can't sleep well, I can't eat properly, I can't focus on anything, I can't enjoy anything, I can't even take care of myself, I'm always tired but I can't rest, I'm always thinking about how bad my life is, I'm always comparing myself to others who seem happier than me, I'm always feeling guilty for being such a burden to everyone around me, I'm always blaming myself for all the problems in my life, I'm always expecting the worst outcome in every situation, I'm always waiting for the other shoe to drop...",Magnification
"When I am feeling overwhelmed, I tend to magnify any mistakes I make and assume they are catastrophic failures. For instance, if I accidentally drop a glass while cleaning, instead of acknowledging it as a minor accident, I think about how clumsy I am and imagine everyone around me judging me harshly. This leads to feelings of anxiety and self-doubt, making it hard for me to focus on anything else.",Magnification
"I'm really bad at math, and I feel like everyone around me knows this too. It makes me feel embarrassed and ashamed whenever someone asks me to solve a problem, especially when I struggle to understand it.",Magnification
"I always seem to see the worst in everything. When people say they are going to call me back, I assume they won't. If there's a chance of getting into trouble at work, I imagine the absolute worst possible outcome. Even when I am trying to enjoy time off, I can't help but anticipate all the ways it could go wrong.",Magnification
The way she looked at me made me feel so uncomfortable. It felt like everyone was staring at me. I couldn't help but imagine them all thinking negative things about me.,Magnification
"The more people around me are happy, the less I feel like I am able to be myself or express who I truly am. It feels like they're always judging me for being too quiet or too loud, too serious or too silly.",Magnification
"My friend always seems to find fault in what I do, even if it's just a small thing. It feels like they are trying to control every aspect of my life, which makes me feel anxious and stressed.",Magnification
The way you are talking about me is making me feel so small and insignificant. It feels like you don't care about what I am saying at all. You make me feel like I am invisible.,Magnification
"The way people react to me makes me think they don't really care about what I say. It feels like no one listens to me, even when I try to explain myself. This feeling of rejection is too strong for me to handle sometimes.",Magnification
I can't stand being around her anymore. Every little thing she does makes me angry. It feels like everything she does is magnified and becomes a huge deal for me.,Magnification
"The more I try to focus on what they said, the more I can’t help but feel hurt by their words.",Magnification
"The more I try to control my thoughts, the more they seem to take over me.",Magnification
My life has become unbearable and I can’t see any way out. My family doesn’t understand me and they never will.,Magnification
My mind races constantly and I can never seem to focus on anything. It feels like there’s always something else that needs to be done before I can relax.,Magnification
The world has become so dark and bleak. It feels like everything around us is falling apart. We can no longer find joy in anything we do.,Magnification
"I feel like everyone around me is judging me, like they are looking down on me, like I'm inferior to them. They make fun of me, call me names, and say terrible things about me. Even when I try to be nice, they still treat me poorly. I feel like there's something wrong with me, like I'm not good enough.",Magnification
"The more I think about what happened, the more I feel like I am being ignored or pushed away by them. It feels like they are trying to avoid me, which makes me even more anxious and paranoid.",Magnification
"My life feels like it's spiraling out of control, and I don't know what to do or who to turn to. It's overwhelming and I just want things to be normal again.",Magnification
"I always believe that people don't care about me, even if they prove otherwise. It makes me feel worthless and alone, and I struggle to trust anyone again.",Magnification
"It's like every little thing he does or doesn't do makes me think there must be something wrong going on behind closed doors. It's ridiculous because I have no real evidence to support these thoughts, but they just won't leave me alone.",Magnification
